V1
CP008780.1 Burkholderia pseudomallei strain MSHR1655 chromosome 1 complete sequence
CP008779.1 Burkholderia pseudomallei strain MSHR1655 chromosome 2 complete sequence
CP008777.1 Burkholderia pseudomallei 576 chromosome 1 complete sequence
CP008778.1 Burkholderia pseudomallei 576 chromosome 2 complete sequence
CP009585.1 Burkholderia pseudomallei strain PHLS 112 chromosome I complete sequence
CP009586.1 Burkholderia pseudomallei strain PHLS 112 chromosome II complete sequence
CP009899.1 Burkholderia pseudomallei Pasteur 52237 chromosome 1 complete sequence
CP009898.1 Burkholderia pseudomallei Pasteur 52237 chromosome 2 complete sequence
CP007802.1 Burkholderia mallei NCTC 10247 chromosome 1 complete sequence
CP007801.1 Burkholderia mallei NCTC 10247 chromosome 2 complete sequence
CP004377.1 Burkholderia pseudomallei NAU35A-3 chromosome 1 complete sequence
CP004378.1 Burkholderia pseudomallei NAU35A-3 chromosome 2 complete sequence
CP004385.1 Burkholderia thailandensis MSMB59 chromosome 1 complete sequence
CP004386.1 Burkholderia thailandensis MSMB59 chromosome 2 complete sequence
CP007781.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 1 complete sequence
CP007780.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 2 complete sequence
CP007779.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 3 complete sequence
CP004381.1 Burkholderia thailandensis E254 chromosome 1 complete sequence
CP004382.1 Burkholderia thailandensis E254 chromosome 2 complete sequence
CP009235.1 Burkholderia pseudomallei MSHR62 chromosome 1 complete sequence
CP009234.1 Burkholderia pseudomallei MSHR62 chromosome 2 complete sequence
CP009151.1 Burkholderia pseudomallei B03 chromosome 1 complete sequence
CP009150.1 Burkholderia pseudomallei B03 chromosome 2 complete sequence
CP009161.1 Burkholderia pseudomallei TSV 48 chromosome 1 complete sequence
CP009160.1 Burkholderia pseudomallei TSV 48 chromosome 2 complete sequence
CP009162.1 Burkholderia pseudomallei K42 chromosome 1 complete sequence
CP009163.1 Burkholderia pseudomallei K42 chromosome 2 complete sequence
CP009165.1 Burkholderia pseudomallei A79A chromosome 1 complete sequence
CP009164.1 Burkholderia pseudomallei A79A chromosome 2 complete sequence
CP009157.1 Burkholderia pseudomallei strain TSV202 chromosome 1 complete sequence
CP009155.1 Burkholderia pseudomallei strain TSV202 plasmid 1 complete sequence
CP009156.1 Burkholderia pseudomallei strain TSV202 chromosome 2 complete sequence
CP009154.1 Burkholderia pseudomallei strain TSV202 plasmid 2 complete sequence
CP008914.2 Burkholderia thailandensis strain 2003015869 chromosome 1 complete sequence
CP008915.2 Burkholderia thailandensis strain 2003015869 chromosome 2 complete sequence
AP014576.1 Burkholderia sp. RPE67 DNA complete genome chromosome: 1
AP014577.1 Burkholderia sp. RPE67 DNA complete genome chromosome: 2
AP014578.1 Burkholderia sp. RPE67 DNA complete genome chromosome: 3
AP014579.1 Burkholderia sp. RPE67 plasmid p1 DNA complete genome
AP014580.1 Burkholderia sp. RPE67 plasmid p2 DNA complete genome
AP014581.1 Burkholderia sp. RPE67 plasmid p3 DNA complete genome
AP014683.1 Burkholderiales bacterium GJ-E10 DNA complete genome
CP002580.1 Burkholderia plantarii strain PG1 chromosome 1 complete sequence
CP002581.1 Burkholderia plantarii strain PG1 chromosome 2 complete sequence
LK936442.1 Burkholderia pseudomallei genome assembly BP_3921g chromosome : 1
LK936443.1 Burkholderia pseudomallei genome assembly BP_3921g chromosome : 2
CP010973.1 Burkholderia pseudomallei strain vgh07 chromosome 1 complete sequence
CP010974.1 Burkholderia pseudomallei strain vgh07 chromosome 2 complete sequence
CP004379.1 Burkholderia pseudomallei 1026b chromosome 1 complete sequence
CP004380.1 Burkholderia pseudomallei 1026b chromosome 2 complete sequence
CP009298.1 Burkholderia pseudomallei 406e chromosome 1 complete sequence
CP009297.1 Burkholderia pseudomallei 406e chromosome 2 complete sequence
CP009337.1 Burkholderia mallei strain 2002734299 chromosome 1 complete sequence
CP009338.1 Burkholderia mallei strain 2002734299 chromosome 2 complete sequence
CP009474.1 Burkholderia pseudomallei MSHR840 chromosome I complete sequence
CP009473.1 Burkholderia pseudomallei MSHR840 chromosome II complete sequence
CP009485.1 Burkholderia pseudomallei MSHR491 chromosome I complete sequence
CP009484.1 Burkholderia pseudomallei MSHR491 chromosome II complete sequence
CP009478.1 Burkholderia pseudomallei MSHR2543 chromosome I complete sequence
CP009477.1 Burkholderia pseudomallei MSHR2543 chromosome II complete sequence
CP009488.1 Burkholderia ubonensis MSMB22 chromosome I complete sequence
CP009486.1 Burkholderia ubonensis MSMB22 chromosome II complete sequence
CP009487.1 Burkholderia ubonensis MSMB22 chromosome III complete sequence
CP009535.1 Burkholderia pseudomallei 7894 chromosome I complete sequence
CP009536.1 Burkholderia pseudomallei 7894 chromosome II complete sequence
CP009538.1 Burkholderia pseudomallei K96243 chromosome I complete sequence
CP009537.1 Burkholderia pseudomallei K96243 chromosome II complete sequence
CP009545.1 Burkholderia pseudomallei strain MSHR668 chromosome I complete sequence
CP009546.1 Burkholderia pseudomallei strain MSHR668 chromosome II complete sequence
CP009549.1 Burkholderia sp. 2002721687 chromosome I complete sequence
CP009548.1 Burkholderia sp. 2002721687 chromosome II complete sequence
CP009547.1 Burkholderia sp. 2002721687 plasmid pBTU complete sequence
CP009551.1 Burkholderia pseudomallei PB08298010 chromosome I complete sequence
CP009550.1 Burkholderia pseudomallei PB08298010 chromosome II complete sequence
CP009555.1 Burkholderia oklahomensis C6786 chromosome I complete sequence
